id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,persentase_penduduk_miskin,tingkat_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan
78,32,JAWA BARAT,KOTA DEPOK,1891980,47000,2.46,10.73,30703000000    ,12.47,2012,23.61405499,TIDAK SEJAHTERA
79,32,JAWA BARAT,KOTA CIMAHI,562721,37700,6.68,9.47,15212000000    ,13.23,2012,36.50122277,TIDAK SEJAHTERA
80,32,JAWA BARAT,KOTA TASIKMALAYA,648178,123000,18.94,10.15,10325000000    ,12.66,2012,55.22633501,CUKUP SEJAHTERA
81,32,JAWA BARAT,KOTA BANJAR,178728,13900,7.79,10.42,2251000000    ,12.15,2012,38.98636509,TIDAK SEJAHTERA
82,32,JAWA BARAT,BOGOR,5202100,499100,9.54,8.9,110685000000    ,11.68,2013,35.19846606,TIDAK SEJAHTERA
83,32,JAWA BARAT,SUKABUMI,2408420,222800,9.24,8.29,33517000000    ,11.8,2013,37.77167704,TIDAK SEJAHTERA
84,32,JAWA BARAT,CIANJUR,2225310,267900,12.02,8.86,22883000000    ,11.54,2013,44.62899362,CUKUP SEJAHTERA
85,32,JAWA BARAT,BANDUNG,3405480,271700,7.94,9.01,57691000000    ,11.5,2013,32.55168441,TIDAK SEJAHTERA
86,32,JAWA BARAT,GARUT,2502410,320900,12.79,10.18,29138000000    ,11.17,2013,46.60755568,CUKUP SEJAHTERA
87,32,JAWA BARAT,TASIKMALAYA,1720120,199300,11.57,7.8,17991000000    ,12.29,2013,43.64062354,CUKUP SEJAHTERA
88,32,JAWA BARAT,CIAMIS,1155470,133000,8.62,8.04,16027000000    ,13.46,2013,40.12761995,CUKUP SEJAHTERA
89,32,JAWA BARAT,KUNINGAN,1042790,139400,13.34,10.11,11649000000    ,11.7,2013,46.85873531,CUKUP SEJAHTERA
90,32,JAWA BARAT,CIREBON,2093070,307200,14.65,9.1,25042000000    ,11.48,2013,50.6844927,CUKUP SEJAHTERA
91,32,JAWA BARAT,MAJALENGKA,1170510,164900,14.07,9.48,15013000000    ,11.38,2013,48.27928379,CUKUP SEJAHTERA
92,32,JAWA BARAT,SUMEDANG,1125120,127400,11.31,10.06,17195000000    ,12.83,2013,43.26825582,CUKUP SEJAHTERA
93,32,JAWA BARAT,INDRAMAYU,1672680,251100,14.99,10.27,52859000000    ,11.36,2013,50.77546784,CUKUP SEJAHTERA
94,32,JAWA BARAT,SUBANG,1496890,185400,12.35,9.38,21431000000    ,11.38,2013,45.24447469,CUKUP SEJAHTERA
95,32,JAWA BARAT,PURWAKARTA,898001,83600,9.28,10.31,34216000000    ,11.22,2013,39.94028792,TIDAK SEJAHTERA
