jumlah_penduduk,jumlah_penduduk_miskin,jumlah_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan,penduduk_miskin_ratio,pengangguran_ratio,pdrb_perkapita,kesejahteraan_level,kabkota_bandung,kabkota_bandung_barat,kabkota_bekasi,kabkota_bogor,kabkota_ciamis,kabkota_cianjur,kabkota_cirebon,kabkota_garut,kabkota_indramayu,kabkota_karawang,kabkota_kota_bandung,kabkota_kota_banjar,kabkota_kota_bekasi,kabkota_kota_bogor,kabkota_kota_cimahi,kabkota_kota_cirebon,kabkota_kota_depok,kabkota_kota_sukabumi,kabkota_kota_tasikmalaya,kabkota_kuningan,kabkota_majalengka,kabkota_pangandaran,kabkota_purwakarta,kabkota_subang,kabkota_sukabumi,kabkota_sumedang,kabkota_tasikmalaya
1315010.0,151100,66803.0,22789000000.0,4.0,2021,47.71951667,Tidak Sejahtera,0.11490406917057665,0.050800374141641506,17329.906236454477,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1159260.0,126300,146994.0,24415000000.0,4.0,2021,47.3753,Tidak Sejahtera,0.10894881217328295,0.1267998550799648,21060.849162396702,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1851730.0,228600,225356.0,59545000000.0,4.0,2021,112.0122,Sangat Sejahtera,0.12345212314970325,0.12170024787631026,32156.415892165704,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1620700.0,159000,181356.0,28961000000.0,3.0,2021,52.2042,Tidak Sejahtera,0.09810575677176529,0.1118997963842784,17869.43913123959,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1008930.0,84300,110680.0,46840000000.0,4.0,2021,94.741,Sangat Sejahtera,0.08355386399452885,0.1097003756454858,46425.42099055435,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2465570.0,210800,263323.0,105601000000.0,4.0,2021,191.97997500499997,Sangat Sejahtera,0.08549747117299449,0.10680005029263011,42830.25831754929,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3148740.0,202700,310781.0,105601000000.0,4.0,2021,191.97997500499997,Sangat Sejahtera,0.06437495633173905,0.09870011496662157,33537.54200092736,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1808420.0,190800,240520.0,31702000000.0,3.0,2021,54.198,Tidak Sejahtera,0.10550646420632376,0.1330000774156446,17530.219749836873,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
425590.0,39100,34005.0,8023000000.0,4.0,2021,21.69408333,Sangat Tidak Sejahtera,0.09187245940929063,0.07990084353485749,18851.47677342043,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1050920.0,80100,70727.0,33372000000.0,4.0,2021,69.87265,Cukup,0.07621893198340501,0.06730007992996613,31755.03368477144,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
350150.0,27200,42788.0,8851000000.0,4.0,2021,23.10926667,Sangat Tidak Sejahtera,0.07768099385977438,0.12219905754676567,25277.738112237614,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2461410.0,112500,234080.0,105601000000.0,4.0,2021,191.97997500499997,Sangat Sejahtera,0.0457055102563165,0.0950999630293206,42902.64523179804,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
335810.0,32000,31297.0,17156000000.0,4.0,2021,40.21381667,Tidak Sejahtera,0.09529198058425896,0.09319853488579852,51088.413090735834,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2568020.0,144100,213659.0,69797000000.0,4.0,2021,134.5093833,Sangat Sejahtera,0.05611327014587114,0.08319989719706233,27179.30545712261,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2081130.0,63900,180642.0,49947000000.0,4.0,2021,97.7969,Sangat Sejahtera,0.030704473050698417,0.08679995963731242,23999.942339017744,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
574450.0,32500,35386.0,23276000000.0,4.0,2021,52.24103333,Tidak Sejahtera,0.056575855165810776,0.06159979110453477,40518.7570719819,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
723100.0,89500,36589.0,15981000000.0,4.0,2021,36.64088333,Sangat Tidak Sejahtera,0.1237726455538653,0.050600193610842205,22100.677637947723,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
202720.0,13400,23678.0,3365000000.0,4.0,2021,13.32276667,Sangat Tidak Sejahtera,0.06610102604577743,0.11680149960536701,16599.250197316494,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4646363.5,417700,415635.5,105601000000.0,4.0,2022,191.97997500499997,Sangat Sejahtera,0.0898982612961728,0.08945393531952461,22727.666485844253,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2775310.0,186300,158470.0,50389000000.0,4.0,2022,97.7495,Sangat Sejahtera,0.06712763619199297,0.05709992757565822,18156.16994137592,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2529810.0,246800,232237.0,34556000000.0,4.0,2022,61.38681667,Cukup,0.09755673350963116,0.09180017471667833,13659.523837758567,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3687250.0,258600,306042.0,88438000000.0,4.0,2022,165.2639,Sangat Sejahtera,0.07013356837751712,0.08300006780120686,23984.812529663028,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2648950.0,276700,258802.0,42013000000.0,4.0,2022,74.47423333,Sejahtera,0.10445648275731893,0.09769984333415127,15860.24651276921,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1892220.0,194100,202468.0,26362000000.0,4.0,2022,47.3656,Tidak Sejahtera,0.1025779243428354,0.10700024310069654,13931.783830632801,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1243320.0,94000,147085.0,23919000000.0,4.0,2022,46.91708333,Tidak Sejahtera,0.07560402792523244,0.11830019624875333,19238.007914293987,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1189010.0,140300,119971.0,18450000000.0,4.0,2022,36.56311667,Sangat Tidak Sejahtera,0.1179973255060933,0.10089990832709565,15517.110873752114,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2331360.0,266100,271603.0,35524000000.0,4.0,2022,61.03285,Cukup,0.11413938645254272,0.11649981126895889,15237.457964449935,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1328010.0,147100,43160.0,24298000000.0,4.0,2022,51.98633333,Tidak Sejahtera,0.11076723819850755,0.03249975527292716,18296.54897176979,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1168840.0,120100,137806.0,25595000000.0,4.0,2022,50.29803333,Tidak Sejahtera,0.10275144587796448,0.11789979809041443,21897.778994558706,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1873400.0,225000,201953.0,61260000000.0,4.0,2022,116.67235,Sangat Sejahtera,0.12010248745596241,0.10780025621863991,32699.903918010034,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
