id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,jumlah_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan,,,,,
72,32,JAWA BARAT,PANGANDARAN,383915,0,44803,5463000000,1,2012,10.68585,Sangat Tidak Sejahtera,,,,,
73,32,JAWA BARAT,KOTA BOGOR,995081,84800,120504,21204000000,3,2012,40.96946667,Tidak Sejahtera,,,,,
74,32,JAWA BARAT,KOTA SUKABUMI,308405,26000,25721,5978000000,4,2012,18.23661667,Sangat Tidak Sejahtera,,,,,
75,32,JAWA BARAT,KOTA BANDUNG,2444620,111400,332224,1.20E+11,4,2012,228.7961333,Sangat Sejahtera,,,,,
76,32,JAWA BARAT,KOTA CIREBON,298825,33200,24384,11309000000,4,2012,28.84546667,Sangat Tidak Sejahtera,,,,,
77,32,JAWA BARAT,KOTA BEKASI,2498600,139800,146668,46907000000,4,2012,92.1506,Sangat Sejahtera,,,,,
78,32,JAWA BARAT,KOTA DEPOK,1891980,47000,203009,30703000000,4,2012,58.47221667,Cukup,,,,,
79,32,JAWA BARAT,KOTA CIMAHI,562721,37700,53290,15212000000,4,2012,35.13116667,Sangat Tidak Sejahtera,,,,,
80,32,JAWA BARAT,KOTA TASIKMALAYA,648178,123000,65790,10325000000,4,2012,23.3105,Sangat Tidak Sejahtera,,,,,
81,32,JAWA BARAT,KOTA BANJAR,178728,13900,18623,2251000000,4,2012,11.33918333,Sangat Tidak Sejahtera,,,,,
82,32,JAWA BARAT,BOGOR,5202100,499100,462987,1.11E+11,3,2013,195.9023167,Sangat Sejahtera,,,,,
83,32,JAWA BARAT,SUKABUMI,2408420,222800,199658,33517000000,3,2013,59.33776667,Cukup,,,,,
84,32,JAWA BARAT,CIANJUR,2225310,267900,197162,22883000000,3,2013,37.4429,Sangat Tidak Sejahtera,,,,,
85,32,JAWA BARAT,BANDUNG,3405480,271700,306834,57691000000,3,2013,101.5119667,Sangat Sejahtera,,,,,
86,32,JAWA BARAT,GARUT,2502410,320900,254745,29138000000,3,2013,46.19041667,Tidak Sejahtera,,,,,
87,32,JAWA BARAT,TASIKMALAYA,1720120,199300,134169,17991000000,4,2013,33.95188333,Sangat Tidak Sejahtera,,,,,
88,32,JAWA BARAT,CIAMIS,1155470,133000,92900,16027000000,4,2013,33.19233333,Sangat Tidak Sejahtera,,,,,
89,32,JAWA BARAT,KUNINGAN,1042790,139400,105426,11649000000,3,2013,21.70336667,Sangat Tidak Sejahtera,,,,,
90,32,JAWA BARAT,CIREBON,2093070,307200,190469,25042000000,3,2013,41.44055,Tidak Sejahtera,,,,,
91,32,JAWA BARAT,MAJALENGKA,1170510,164900,110964,15013000000,3,2013,27.72946667,Sangat Tidak Sejahtera,,,,,
92,32,JAWA BARAT,SUMEDANG,1125120,127400,113187,17195000000,4,2013,34.60731667,Sangat Tidak Sejahtera,,,,,
93,32,JAWA BARAT,INDRAMAYU,1672680,251100,171784,52859000000,3,2013,98.9438,Sangat Sejahtera,,,,,
94,32,JAWA BARAT,SUBANG,1496890,185400,140408,21431000000,3,2013,38.7516,Sangat Tidak Sejahtera,,,,,
95,32,JAWA BARAT,PURWAKARTA,898001,83600,92584,34216000000,3,2013,68.40946667,Cukup,,,,,
96,32,JAWA BARAT,KARAWANG,2225380,238600,224763,1.20E+11,3,2013,231.3751833,Sangat Sejahtera,,,,,
97,32,JAWA BARAT,BEKASI,3002110,157700,310418,1.86E+11,3,2013,360.2647667,Sangat Sejahtera,,,,,
98,32,JAWA BARAT,BANDUNG BARAT,1588780,206000,167775,22937000000,3,2013,40.05191667,Tidak Sejahtera,,,,,
99,32,JAWA BARAT,PANGANDARAN,386129,0,40582,5733000000,3,2013,15.4369,Sangat Tidak Sejahtera,,,,,
100,32,JAWA BARAT,KOTA BOGOR,1013020,83300,107380,22485000000,4,2013,46.21266667,Tidak Sejahtera,,,,,
101,32,JAWA BARAT,KOTA SUKABUMI,311822,25200,32180,6302000000,4,2013,18.575,Sangat Tidak Sejahtera,,,,,
102,32,JAWA BARAT,KOTA BANDUNG,2458500,117700,224707,1.29E+11,4,2013,252.8129833,Sangat Sejahtera,,,,,
103,32,JAWA BARAT,KOTA CIREBON,301728,31900,21664,11864000000,4,2013,30.11313333,Sangat Tidak Sejahtera,,,,,
104,32,JAWA BARAT,KOTA BEKASI,2570400,137800,233135,49741000000,4,2013,93.52858333,Sangat Sejahtera,,,,,
105,32,JAWA BARAT,KOTA DEPOK,1962180,45900,191116,32806000000,4,2013,63.2912,Cukup,,,,,
106,32,JAWA BARAT,KOTA CIMAHI,570991,32300,64294,16072000000,4,2013,36.39096667,Sangat Tidak Sejahtera,,,,,
107,32,JAWA BARAT,KOTA TASIKMALAYA,651676,112200,75594,10962000000,4,2013,24.2743,Sangat Tidak Sejahtera,,,,,
108,32,JAWA BARAT,KOTA BANJAR,179706,12800,11465,2374000000,4,2013,11.96141667,Sangat Tidak Sejahtera,,,,,
109,32,JAWA BARAT,BOGOR,5331150,479100,261226,1.17E+11,3,2014,219.6337,Sangat Sejahtera,,,,,
110,32,JAWA BARAT,SUKABUMI,2422110,213500,127887,35521000000,4,2014,69.08931667,Cukup,,,,,
111,32,JAWA BARAT,CIANJUR,2235420,256600,158491,24042000000,3,2014,41.88278333,Tidak Sejahtera,,,,,
112,32,JAWA BARAT,BANDUNG,3470390,266800,556651,61100000000,3,2014,95.92078333,Sangat Sejahtera,,,,,
113,32,JAWA BARAT,GARUT,2526190,315600,169507,30542000000,3,2014,53.34865,Tidak Sejahtera,,,,,
114,32,JAWA BARAT,TASIKMALAYA,1728590,194800,128261,18850000000,4,2014,36.04028333,Sangat Tidak Sejahtera,,,,,
115,32,JAWA BARAT,CIAMIS,1162100,130000,90063,16839000000,4,2014,35.00818333,Sangat Tidak Sejahtera,,,,,
116,32,JAWA BARAT,KUNINGAN,1049080,133600,84031,12385000000,4,2014,26.34178333,Sangat Tidak Sejahtera,,,,,
117,32,JAWA BARAT,CIREBON,2109590,300500,195348,26313000000,3,2014,43.85026667,Tidak Sejahtera,,,,,
118,32,JAWA BARAT,MAJALENGKA,1176310,158000,132335,15751000000,3,2014,28.25191667,Sangat Tidak Sejahtera,,,,,
119,32,JAWA BARAT,SUMEDANG,1131520,122000,88032,18005000000,4,2014,37.57506667,Sangat Tidak Sejahtera,,,,,
120,32,JAWA BARAT,INDRAMAYU,1682020,240700,169716,55464000000,3,2014,104.4305333,Sangat Sejahtera,,,,,
121,32,JAWA BARAT,SUBANG,1513090,177900,141171,22506000000,3,2014,40.98845,Tidak Sejahtera,,,,,
122,32,JAWA BARAT,PURWAKARTA,910007,80300,105834,36177000000,3,2014,71.72396667,Cukup,,,,,
123,32,JAWA BARAT,KARAWANG,2250120,229000,206336,1.27E+11,3,2014,245.3645333,Sangat Sejahtera,,,,,
124,32,JAWA BARAT,BEKASI,3122700,156600,390338,1.97E+11,3,2014,378.2011,Sangat Sejahtera,,,,,
125,32,JAWA BARAT,BANDUNG BARAT,1609510,197900,140832,24265000000,3,2014,44.19006667,Tidak Sejahtera,,,,,
126,32,JAWA BARAT,PANGANDARAN,388320,0,36580,5974000000,3,2014,16.119,Sangat Tidak Sejahtera,,,,,
127,32,JAWA BARAT,KOTA BOGOR,1030720,80100,88333,23835000000,4,2014,49.91835,Tidak Sejahtera,,,,,
128,32,JAWA BARAT,KOTA SUKABUMI,315001,24100,22145,6644000000,4,2014,19.77908333,Sangat Tidak Sejahtera,,,,,
129,32,JAWA BARAT,KOTA BANDUNG,2470800,115000,153190,1.39E+11,4,2014,276.3458333,Sangat Sejahtera,,,,,
130,32,JAWA BARAT,KOTA CIREBON,304584,30600,23971,12541000000,4,2014,31.37345,Sangat Tidak Sejahtera,,,,,
131,32,JAWA BARAT,KOTA BEKASI,2642510,139700,274293,52534000000,4,2014,97.02501667,Sangat Sejahtera,,,,,
132,32,JAWA BARAT,KOTA DEPOK,2033510,47500,288352,35193000000,4,2014,63.17673333,Cukup,,,,,
133,32,JAWA BARAT,KOTA CIMAHI,579015,31800,58596,16955000000,4,2014,38.4502,Sangat Tidak Sejahtera,,,,,
134,32,JAWA BARAT,KOTA TASIKMALAYA,654794,104500,53300,11637000000,4,2014,26.86733333,Sangat Tidak Sejahtera,,,,,
135,32,JAWA BARAT,KOTA BANJAR,180515,12700,11553,2492000000,4,2014,12.19468333,Sangat Tidak Sejahtera,,,,,
136,32,JAWA BARAT,BOGOR,5459670,487100,319391,1.24E+11,3,2015,230.8861167,Sangat Sejahtera,,,,,
137,32,JAWA BARAT,SUKABUMI,2434220,217900,200093,37265000000,4,2015,68.89368333,Cukup,,,,,
138,32,JAWA BARAT,CIANJUR,2243900,273900,333892,25352000000,3,2015,35.4444,Sangat Tidak Sejahtera,,,,,
139,32,JAWA BARAT,BANDUNG,3534110,281000,259757,64702000000,4,2015,119.7328167,Sangat Sejahtera,,,,,
140,32,JAWA BARAT,GARUT,2548720,325700,163373,31919000000,3,2015,56.24101667,Cukup,,,,,
141,32,JAWA BARAT,TASIKMALAYA,1736000,208100,167177,19662000000,4,2015,35.49681667,Sangat Tidak Sejahtera,,,,,
142,32,JAWA BARAT,CIAMIS,1168680,104900,85781,17780000000,4,2015,37.52261667,Sangat Tidak Sejahtera,,,,,
143,32,JAWA BARAT,KUNINGAN,1055420,147200,99737,13176000000,4,2015,26.91181667,Sangat Tidak Sejahtera,,,,,
144,32,JAWA BARAT,CIREBON,2126180,313200,208366,27596000000,3,2015,45.5537,Tidak Sejahtera,,,,,
145,32,JAWA BARAT,MAJALENGKA,1182110,167500,84757,16591000000,3,2015,32.15248333,Sangat Tidak Sejahtera,,,,,
146,32,JAWA BARAT,SUMEDANG,1137270,129000,108496,18950000000,4,2015,38.3252,Sangat Tidak Sejahtera,,,,,
147,32,JAWA BARAT,INDRAMAYU,1691390,253100,165756,56663000000,4,2015,108.8198667,Sangat Sejahtera,,,,,
148,32,JAWA BARAT,SUBANG,1529390,187200,170986,23697000000,3,2015,41.7247,Tidak Sejahtera,,,,,
149,32,JAWA BARAT,PURWAKARTA,921598,83900,101099,37899000000,3,2015,75.34471667,Sejahtera,,,,,
150,32,JAWA BARAT,KARAWANG,2273580,235000,205077,1.32E+11,3,2015,256.7374833,Sangat Sejahtera,,,,,
151,32,JAWA BARAT,BEKASI,3246010,169200,308371,2.06E+11,3,2015,399.66145,Sangat Sejahtera,,,,,
152,32,JAWA BARAT,BANDUNG BARAT,1629420,205700,125302,25486000000,3,2015,47.27856667,Tidak Sejahtera,,,,,
153,32,JAWA BARAT,PANGANDARAN,390483,42000,44632,6271000000,3,2015,15.6104,Sangat Tidak Sejahtera,,,,,
154,32,JAWA BARAT,KOTA BOGOR,1047920,79200,68324,25299000000,4,2015,53.8618,Tidak Sejahtera,,,,,
155,32,JAWA BARAT,KOTA SUKABUMI,318117,27800,22395,6985000000,4,2015,20.38691667,Sangat Tidak Sejahtera,,,,,
156,32,JAWA BARAT,KOTA BANDUNG,2481470,114100,189832,1.50E+11,4,2015,295.7667333,Sangat Sejahtera,,,,,
157,32,JAWA BARAT,KOTA CIREBON,307494,31700,24876,13269000000,4,2015,32.76586667,Sangat Tidak Sejahtera,,,,,
158,32,JAWA BARAT,KOTA BEKASI,2714820,146900,403694,55456000000,4,2015,96.27896667,Sangat Sejahtera,,,,,
159,32,JAWA BARAT,KOTA DEPOK,2106100,50000,178597,37529000000,4,2015,73.29481667,Sejahtera,,,,,
160,32,JAWA BARAT,KOTA CIMAHI,586580,34100,45225,17876000000,4,2015,40.92241667,Tidak Sejahtera,,,,,
161,32,JAWA BARAT,KOTA TASIKMALAYA,657477,106800,45563,12371000000,4,2015,28.68385,Sangat Tidak Sejahtera,,,,,
162,32,JAWA BARAT,KOTA BANJAR,181425,13400,8926,2624000000,4,2015,12.57836667,Sangat Tidak Sejahtera,,,,,
163,32,JAWA BARAT,BOGOR,5587390,490800,384412,1.32E+11,4,2016,244.1194,Sangat Sejahtera,,,,,
164,32,JAWA BARAT,SUKABUMI,2444620,198700,325623,39447000000,4,2016,67.30118333,Cukup,,,,,
165,32,JAWA BARAT,CIANJUR,2250980,261400,100619,26981000000,3,2016,50.57438333,Tidak Sejahtera,,,,,
166,32,JAWA BARAT,BANDUNG,3596620,272700,270106,68805000000,4,2016,127.5597,Sangat Sejahtera,,,,,
167,32,JAWA BARAT,GARUT,2569500,298500,205817,33804000000,3,2016,58.34215,Cukup,,,,,
